@timestamp,agent.type,destination.bytes,destination.ip,destination.port,event.type,host.ip,host.os.version,network.packets,network.transport,network.type,source.ip,source.port
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,1641,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,366,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,2002,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,7625,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,2009,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,264,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,2030,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,9102,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,1154,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,2100,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,749,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,7106,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,898,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,1041,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,888,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,16012,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,20000,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,6009,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,5431,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,2111,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,2394,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,1186,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,5801,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,2222,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,6006,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,32778,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,9503,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,1092,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,1081,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,5061,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,3007,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
