@timestamp,file.mtime,event.action,file.path,file.owner,related.user
"Oct 22, 2022 @ 15:21:03.570","Oct 22, 2022 @ 15:21:03.566","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:20:10.254","Oct 22, 2022 @ 15:20:10.251","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:20:10.252","Oct 22, 2022 @ 15:13:34.000",attributes_modified,/home/adam/cleanup.sh,vagrant,-
"Oct 22, 2022 @ 15:20:10.250","Oct 22, 2022 @ 15:20:10.243","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:20:10.248","Oct 22, 2022 @ 15:20:10.243","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:20:10.247","Oct 22, 2022 @ 15:20:10.243","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:19:48.682",-,user_login,-,-,adam
"Oct 22, 2022 @ 15:19:48.678","Oct 22, 2022 @ 15:19:48.675","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:19:48.643","Oct 22, 2022 @ 15:19:48.639","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:19:48.642","Oct 22, 2022 @ 15:19:48.639","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:19:48.633","Oct 22, 2022 @ 15:19:48.627","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:19:40.635","Oct 22, 2022 @ 15:13:34.000",created,/home/adam/cleanup.sh,vagrant,-
"Oct 22, 2022 @ 15:19:03.874","Oct 22, 2022 @ 14:20:52.159",attributes_modified,/etc/mtab,root,-
"Oct 22, 2022 @ 15:19:01.497",-,host,-,-,-
"Oct 22, 2022 @ 15:13:19.707",-,user_login,-,-,adam
"Oct 22, 2022 @ 15:10:14.425",-,user_login,-,-,vagrant
"Oct 22, 2022 @ 14:29:56.524",-,process_stopped,-,-,-
"Oct 22, 2022 @ 14:29:46.524",-,process_started,-,-,-
"Oct 22, 2022 @ 14:26:05.923",-,updated,/home/adam/.ssh/authorized_keys,,adam
"Oct 22, 2022 @ 14:24:14.886",-,user_added,-,-,rootusr
"Oct 22, 2022 @ 14:24:09.674",-,deleted,/etc/passwd.lock,-,-
"Oct 22, 2022 @ 14:24:09.673",-,deleted,/etc/shadow.lock,-,-
"Oct 22, 2022 @ 14:24:09.671",-,deleted,/etc/gshadow.lock,-,-
"Oct 22, 2022 @ 14:24:09.671",-,deleted,/etc/group.lock,-,-
"Oct 22, 2022 @ 14:24:09.670",-,moved,/etc/gshadow+,-,-
"Oct 22, 2022 @ 14:24:09.670","Oct 22, 2022 @ 14:24:09.662","updated, attributes_modified",/etc/gshadow,root,-
"Oct 22, 2022 @ 14:24:09.668","Oct 22, 2022 @ 14:24:09.658","updated, attributes_modified",/etc/group,root,-
"Oct 22, 2022 @ 14:24:09.668","Oct 22, 2022 @ 14:24:09.000","updated, attributes_modified",/etc/gshadow-,root,-
"Oct 22, 2022 @ 14:24:09.667",-,moved,/etc/group+,-,-
"Oct 22, 2022 @ 14:24:09.665","Oct 22, 2022 @ 14:24:09.000","updated, attributes_modified",/etc/group-,root,-
"Oct 22, 2022 @ 14:24:09.664","Oct 22, 2022 @ 14:24:09.658",created,/etc/gshadow.lock,root,-
"Oct 22, 2022 @ 14:24:09.664",-,deleted,/etc/gshadow.525,-,-
"Oct 22, 2022 @ 14:24:09.663","Oct 22, 2022 @ 14:24:09.658",created,/etc/group.lock,root,-
"Oct 22, 2022 @ 14:24:09.663",-,deleted,/etc/group.525,-,-
"Oct 22, 2022 @ 14:24:09.662",-,deleted,/etc/passwd.525,-,-
"Oct 22, 2022 @ 14:24:09.662","Oct 22, 2022 @ 14:24:09.658",created,/etc/shadow.lock,root,-
"Oct 22, 2022 @ 14:24:09.662",-,deleted,/etc/shadow.525,-,-
"Oct 22, 2022 @ 14:24:09.661","Oct 22, 2022 @ 14:24:09.658",created,/etc/passwd.lock,root,-
"Oct 22, 2022 @ 14:24:09.637",-,moved,/etc/nshadow,-,-
"Oct 22, 2022 @ 14:24:09.637","Oct 22, 2022 @ 14:24:09.630","updated, attributes_modified",/etc/shadow,root,-
"Oct 22, 2022 @ 14:24:09.635","Oct 22, 2022 @ 14:24:09.630",created,/etc/nshadow,root,-
"Oct 22, 2022 @ 14:24:09.617",-,deleted,/etc/subgid.lock,-,-
"Oct 22, 2022 @ 14:24:09.616",-,deleted,/etc/group.lock,-,-
"Oct 22, 2022 @ 14:24:09.616",-,deleted,/etc/gshadow.lock,-,-
"Oct 22, 2022 @ 14:24:09.616",-,deleted,/etc/subuid.lock,-,-
"Oct 22, 2022 @ 14:24:09.615",-,deleted,/etc/passwd.lock,-,-
"Oct 22, 2022 @ 14:24:09.614","Oct 22, 2022 @ 14:24:09.602","updated, attributes_modified",/etc/subgid,root,-
"Oct 22, 2022 @ 14:24:09.614",-,deleted,/etc/shadow.lock,-,-
"Oct 22, 2022 @ 14:24:09.613","Oct 22, 2022 @ 14:24:09.602","updated, attributes_modified",/etc/subuid,root,-
"Oct 22, 2022 @ 14:24:09.613","Oct 4, 2022 @ 05:41:49.000",created,/etc/subgid-,root,-
"Oct 22, 2022 @ 14:24:09.613",-,moved,/etc/subgid+,-,-
"Oct 22, 2022 @ 14:24:09.612",-,moved,/etc/subuid+,-,-
"Oct 22, 2022 @ 14:24:09.611","Oct 22, 2022 @ 14:24:09.602","updated, attributes_modified",/etc/gshadow,root,-
"Oct 22, 2022 @ 14:24:09.611","Oct 4, 2022 @ 05:41:49.000",created,/etc/subuid-,root,-
"Oct 22, 2022 @ 14:24:09.610",-,moved,/etc/gshadow+,-,-
"Oct 22, 2022 @ 14:24:09.608","Oct 22, 2022 @ 14:24:09.598","updated, attributes_modified",/etc/group,root,-
"Oct 22, 2022 @ 14:24:09.608","Oct 22, 2022 @ 14:20:45.000","updated, attributes_modified",/etc/gshadow-,root,-
"Oct 22, 2022 @ 14:24:09.607",-,moved,/etc/group+,-,-
"Oct 22, 2022 @ 14:24:09.605",-,moved,/etc/shadow+,-,-
"Oct 22, 2022 @ 14:24:09.605","Oct 22, 2022 @ 14:24:09.598","updated, attributes_modified",/etc/shadow,root,-
"Oct 22, 2022 @ 14:24:09.605","Oct 22, 2022 @ 14:20:45.000","updated, attributes_modified",/etc/group-,root,-
"Oct 22, 2022 @ 14:24:09.603","Oct 22, 2022 @ 14:20:46.000","updated, attributes_modified",/etc/shadow-,root,-
"Oct 22, 2022 @ 14:24:09.602",-,moved,/etc/passwd+,-,-
"Oct 22, 2022 @ 14:24:09.602","Oct 22, 2022 @ 14:24:09.594","updated, attributes_modified",/etc/passwd,root,-
"Oct 22, 2022 @ 14:24:09.601",-,attributes_modified,/etc/passwd+,-,-
"Oct 22, 2022 @ 14:24:09.600","Oct 22, 2022 @ 14:20:45.000",attributes_modified,/etc/passwd-,root,-
"Oct 22, 2022 @ 14:24:09.600","Oct 22, 2022 @ 14:24:09.594",created,/etc/passwd+,root,-
"Oct 22, 2022 @ 14:24:09.599","Oct 22, 2022 @ 14:24:09.594","updated, attributes_modified",/etc/passwd-,root,-
"Oct 22, 2022 @ 14:24:09.596","Oct 22, 2022 @ 14:24:09.586",created,/etc/shadow.lock,root,-
"Oct 22, 2022 @ 14:24:09.596",-,deleted,/etc/shadow.513,-,-
"Oct 22, 2022 @ 14:24:09.595","Oct 22, 2022 @ 14:24:09.586",created,/etc/subgid.lock,root,-
"Oct 22, 2022 @ 14:24:09.595",-,deleted,/etc/subgid.513,-,-
"Oct 22, 2022 @ 14:24:09.594","Oct 22, 2022 @ 14:24:09.586",created,/etc/subuid.lock,root,-
"Oct 22, 2022 @ 14:24:09.594",-,deleted,/etc/subuid.513,-,-
"Oct 22, 2022 @ 14:24:09.593","Oct 22, 2022 @ 14:24:09.586",created,/etc/gshadow.lock,root,-
"Oct 22, 2022 @ 14:24:09.593",-,deleted,/etc/gshadow.513,-,-
"Oct 22, 2022 @ 14:24:09.592","Oct 22, 2022 @ 14:24:09.586",created,/etc/group.lock,root,-
"Oct 22, 2022 @ 14:24:09.592",-,deleted,/etc/group.513,-,-
"Oct 22, 2022 @ 14:24:09.591","Oct 22, 2022 @ 14:24:09.586",created,/etc/group.513,root,-
"Oct 22, 2022 @ 14:24:09.591",-,attributes_modified,/etc/group.513,-,-
"Oct 22, 2022 @ 14:24:09.590","Oct 22, 2022 @ 14:24:09.586",created,/etc/passwd.lock,root,-
"Oct 22, 2022 @ 14:24:09.590",-,deleted,/etc/passwd.513,-,-
"Oct 22, 2022 @ 14:24:09.570","Oct 22, 2022 @ 14:24:09.566",created,/etc/rc3.d/S06initservice,root,-
"Oct 22, 2022 @ 14:24:09.565","Oct 22, 2022 @ 14:24:09.558",created,/etc/init.d/initservice.sh,root,-
"Oct 22, 2022 @ 14:24:09.562","Oct 22, 2022 @ 14:24:09.558",created,/usr/bin/service.sh,root,-
"Oct 22, 2022 @ 14:23:55.119",-,user_login,-,-,adam
"Oct 22, 2022 @ 14:23:36.525",-,process_stopped,-,-,-
"Oct 22, 2022 @ 14:23:16.098",-,host,-,-,-
"Oct 22, 2022 @ 14:21:37.703",-,user_login,-,-,vagrant
"Oct 22, 2022 @ 13:49:29.315",-,process_stopped,-,-,-
"Oct 22, 2022 @ 13:49:19.317",-,process_started,-,-,-
"Oct 22, 2022 @ 13:41:34.967",-,user_added,-,-,rootusr
"Oct 22, 2022 @ 13:41:33.521",-,deleted,/etc/shadow.lock,-,-
"Oct 22, 2022 @ 13:41:33.521",-,deleted,/etc/passwd.lock,-,-
"Oct 22, 2022 @ 13:41:33.520",-,deleted,/etc/gshadow.lock,-,-
"Oct 22, 2022 @ 13:41:33.520",-,deleted,/etc/group.lock,-,-
"Oct 22, 2022 @ 13:41:33.519",-,moved,/etc/gshadow+,-,-
"Oct 22, 2022 @ 13:41:33.519","Oct 22, 2022 @ 13:41:33.513","updated, attributes_modified",/etc/gshadow,root,-
"Oct 22, 2022 @ 13:41:33.517","Oct 22, 2022 @ 13:41:33.509","updated, attributes_modified",/etc/group,root,-
"Oct 22, 2022 @ 13:41:33.517","Oct 22, 2022 @ 13:41:33.000","updated, attributes_modified",/etc/gshadow-,root,-
"Oct 22, 2022 @ 13:41:33.516",-,moved,/etc/group+,-,-
"Oct 22, 2022 @ 13:41:33.515","Oct 22, 2022 @ 13:41:33.000","updated, attributes_modified",/etc/group-,root,-
"Oct 22, 2022 @ 13:41:33.514",-,deleted,/etc/gshadow.639,-,-
"Oct 22, 2022 @ 13:41:33.513",-,deleted,/etc/group.639,-,-
"Oct 22, 2022 @ 13:41:33.513","Oct 22, 2022 @ 13:41:33.509",created,/etc/gshadow.lock,root,-
"Oct 22, 2022 @ 13:41:33.512",-,deleted,/etc/shadow.639,-,-
"Oct 22, 2022 @ 13:41:33.512","Oct 22, 2022 @ 13:41:33.509",created,/etc/group.lock,root,-
"Oct 22, 2022 @ 13:41:33.511","Oct 22, 2022 @ 13:41:33.509",created,/etc/passwd.lock,root,-
"Oct 22, 2022 @ 13:41:33.511",-,deleted,/etc/passwd.639,-,-
"Oct 22, 2022 @ 13:41:33.511","Oct 22, 2022 @ 13:41:33.509",created,/etc/shadow.lock,root,-
"Oct 22, 2022 @ 13:41:33.507","Oct 22, 2022 @ 13:41:33.501","updated, attributes_modified",/etc/shadow,root,-
"Oct 22, 2022 @ 13:41:33.506",-,moved,/etc/nshadow,-,-
"Oct 22, 2022 @ 13:41:33.504","Oct 22, 2022 @ 13:41:33.501",created,/etc/nshadow,root,-
"Oct 22, 2022 @ 13:41:33.489",-,deleted,/etc/subgid.lock,-,-
"Oct 22, 2022 @ 13:41:33.488",-,deleted,/etc/group.lock,-,-
"Oct 22, 2022 @ 13:41:33.488",-,deleted,/etc/gshadow.lock,-,-
"Oct 22, 2022 @ 13:41:33.488",-,deleted,/etc/subuid.lock,-,-
"Oct 22, 2022 @ 13:41:33.487",-,deleted,/etc/shadow.lock,-,-
"Oct 22, 2022 @ 13:41:33.487",-,deleted,/etc/passwd.lock,-,-
"Oct 22, 2022 @ 13:41:33.486",-,moved,/etc/subgid+,-,-
"Oct 22, 2022 @ 13:41:33.486","Oct 22, 2022 @ 13:41:33.473","updated, attributes_modified",/etc/subgid,root,-
"Oct 22, 2022 @ 13:41:33.485","Oct 22, 2022 @ 13:41:33.473","updated, attributes_modified",/etc/subuid,root,-
"Oct 22, 2022 @ 13:41:33.485","Oct 4, 2022 @ 05:41:49.000",created,/etc/subgid-,root,-
"Oct 22, 2022 @ 13:41:33.484",-,moved,/etc/subuid+,-,-
"Oct 22, 2022 @ 13:41:33.483","Oct 22, 2022 @ 13:41:33.469","updated, attributes_modified",/etc/gshadow,root,-
"Oct 22, 2022 @ 13:41:33.483","Oct 4, 2022 @ 05:41:49.000",created,/etc/subuid-,root,-
"Oct 22, 2022 @ 13:41:33.482",-,moved,/etc/gshadow+,-,-
